id;risquenom;descrisque;impact;probability;detection
1;Investor;Generic Wooden Hat;22011;82603;58572
2;program;Somoni Division CSS;70971;4650;90059
3;Licensed Concrete Hat;Investment Account Thailand program;45021;57115;65023
4;Checking Account;synthesize;83268;88968;77604
5;Valley Walk;invoice;15282;20081;90452
6;Coordinator Shirt;Tasty Cotton Chips compelling action-items;95863;45993;37138
7;THX bluetooth;Money Market Account channels;25416;766;66220
8;bypass Orchestrator models;Garden;4270;19210;4079
9;USB Ergonomic;Intelligent Granite Fish;97033;4561;86874
10;convergence;stable wireless;24905;26176;94262
