id;risque_cause;type_cause;risque_cons;description
1;deposit;withdrawal Engineer optical;Data solid state;eyeballs
2;Handcrafted;Forward Locks;Accounts Brazilian Real;payment Unions
3;Facilitator multimedia Avon;Forges Indian Rupee Ngultrum back up;Iowa;SDD
4;functionalities calculate Generic Frozen Pizza;Group primary;calculating;Kentucky Frozen Small
5;Central;Music PCI;Sleek;Overpass time-frame one-to-one
6;Producer Sleek Soft Sausages e-services;Implementation;Credit Card Account Wooden Tasty;navigating
7;Credit Card Account;driver Planner New York;Sleek Fresh Table;Manager
8;XML bi-directional artificial intelligence;input Solutions Global;open-source;Road Handcrafted
9;FTP;Kids;District;Practical Plastic Keyboard
10;Intelligent Fresh Chips evolve bricks-and-clicks;generate Virtual;program schemas engineer;Tools
