id;action;planaction;temps_action;cout_action
1;bypass Tunnel withdrawal;Tasty Cotton Car pink;77003;94657
2;Unbranded;Samoa payment primary;89972;27532
3;Outdoors 1080p digital;viral B2C backing up;45934;41961
4;cultivate;Profit-focused program;47139;26267
5;Argentine Peso Madagascar;hard drive;19935;36651
6;workforce invoice overriding;content array;59442;22450
7;program;microchip synergize;40923;20837
8;capacitor;Keyboard;50619;41430
9;cross-platform;one-to-one invoice Checking Account;90902;72454
10;connect Checking Account dynamic;digital;31024;65800
